Ion = Bismuth     , Mass = 208.980384
Tgt = Bi (Solid), Density = 1 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
7.861E+04   5.026E+03  2.759E+02 
7.972E+04   5.081E+03  2.732E+02 
8.084E+04   5.136E+03  2.705E+02 
8.197E+04   5.192E+03  2.678E+02 
8.310E+04   5.247E+03  2.651E+02 
8.425E+04   5.302E+03  2.625E+02 
8.540E+04   5.358E+03  2.600E+02 
8.655E+04   5.413E+03  2.575E+02 
8.772E+04   5.469E+03  2.550E+02 
8.889E+04   5.524E+03  2.526E+02 
9.007E+04   5.580E+03  2.501E+02 
9.126E+04   5.636E+03  2.478E+02 
9.246E+04   5.691E+03  2.454E+02 
9.367E+04   5.747E+03  2.431E+02 
9.488E+04   5.802E+03  2.409E+02 
9.610E+04   5.858E+03  2.386E+02 
9.733E+04   5.913E+03  2.364E+02 
9.856E+04   5.968E+03  2.342E+02 
9.981E+04   6.024E+03  2.321E+02 
1.011E+05   6.079E+03  2.300E+02 
1.023E+05   6.134E+03  2.279E+02 
1.036E+05   6.189E+03  2.258E+02 
1.049E+05   6.245E+03  2.238E+02 
1.061E+05   6.300E+03  2.218E+02 
1.074E+05   6.355E+03  2.199E+02 
1.087E+05   6.409E+03  2.179E+02 
1.100E+05   6.464E+03  2.160E+02 
1.114E+05   6.519E+03  2.141E+02 
1.127E+05   6.573E+03  2.122E+02 
1.140E+05   6.628E+03  2.104E+02 
1.153E+05   6.682E+03  2.086E+02 
1.167E+05   6.736E+03  2.068E+02 
1.180E+05   6.791E+03  2.050E+02 
1.194E+05   6.845E+03  2.033E+02 
1.208E+05   6.898E+03  2.016E+02 
1.221E+05   6.952E+03  1.999E+02 
1.235E+05   7.006E+03  1.982E+02 
1.249E+05   7.059E+03  1.965E+02 
1.263E+05   7.113E+03  1.949E+02 
1.277E+05   7.166E+03  1.933E+02 
1.291E+05   7.219E+03  1.917E+02 
1.306E+05   7.272E+03  1.901E+02 
1.320E+05   7.324E+03  1.886E+02 
1.334E+05   7.377E+03  1.870E+02 
1.349E+05   7.429E+03  1.855E+02 
1.363E+05   7.481E+03  1.840E+02 
1.378E+05   7.534E+03  1.826E+02 
1.393E+05   7.585E+03  1.811E+02 
1.407E+05   7.637E+03  1.797E+02 
1.422E+05   7.689E+03  1.782E+02 
1.437E+05   7.740E+03  1.768E+02 
1.452E+05   7.791E+03  1.755E+02 
1.467E+05   7.842E+03  1.741E+02 
1.482E+05   7.893E+03  1.727E+02 
1.498E+05   7.943E+03  1.714E+02 
1.513E+05   7.994E+03  1.701E+02 
1.528E+05   8.044E+03  1.688E+02 
1.544E+05   8.094E+03  1.675E+02 
1.559E+05   8.143E+03  1.662E+02 
1.575E+05   8.193E+03  1.649E+02 
1.591E+05   8.242E+03  1.637E+02 
1.607E+05   8.291E+03  1.625E+02 
1.622E+05   8.340E+03  1.613E+02 
1.638E+05   8.389E+03  1.601E+02 
1.654E+05   8.438E+03  1.589E+02 
1.671E+05   8.486E+03  1.577E+02 
1.687E+05   8.534E+03  1.565E+02 
1.703E+05   8.582E+03  1.554E+02 
1.719E+05   8.629E+03  1.543E+02 
1.736E+05   8.677E+03  1.531E+02 
1.752E+05   8.724E+03  1.520E+02 
1.769E+05   8.771E+03  1.509E+02 
1.785E+05   8.818E+03  1.499E+02 
1.802E+05   8.864E+03  1.488E+02 
1.819E+05   8.911E+03  1.477E+02 
1.836E+05   8.957E+03  1.467E+02 
1.853E+05   9.002E+03  1.456E+02 
1.870E+05   9.048E+03  1.446E+02 
1.887E+05   9.093E+03  1.436E+02 
1.904E+05   9.139E+03  1.426E+02 
1.921E+05   9.183E+03  1.416E+02 
1.939E+05   9.228E+03  1.406E+02 
1.956E+05   9.273E+03  1.397E+02 
1.974E+05   9.317E+03  1.387E+02 
1.991E+05   9.361E+03  1.377E+02 
2.009E+05   9.404E+03  1.368E+02 
2.027E+05   9.448E+03  1.359E+02 
2.045E+05   9.491E+03  1.350E+02 
2.062E+05   9.534E+03  1.340E+02 
2.080E+05   9.577E+03  1.331E+02 
2.098E+05   9.619E+03  1.323E+02 
2.117E+05   9.662E+03  1.314E+02 
2.135E+05   9.704E+03  1.305E+02 
2.153E+05   9.746E+03  1.296E+02 
2.171E+05   9.787E+03  1.288E+02 
2.190E+05   9.829E+03  1.279E+02 
2.208E+05   9.870E+03  1.271E+02 
2.227E+05   9.911E+03  1.263E+02 
2.246E+05   9.951E+03  1.254E+02 
2.264E+05   9.992E+03  1.246E+02 
2.283E+05   1.003E+04  1.238E+02 
2.302E+05   1.007E+04  1.230E+02 
2.321E+05   1.011E+04  1.222E+02 
2.340E+05   1.015E+04  1.215E+02 
2.359E+05   1.019E+04  1.207E+02 
2.379E+05   1.023E+04  1.199E+02 
2.398E+05   1.027E+04  1.192E+02 
2.417E+05   1.031E+04  1.184E+02 
2.437E+05   1.034E+04  1.177E+02 
2.456E+05   1.038E+04  1.169E+02 
2.476E+05   1.042E+04  1.162E+02 
2.496E+05   1.046E+04  1.155E+02 
2.515E+05   1.049E+04  1.148E+02 
2.535E+05   1.053E+04  1.141E+02 
2.555E+05   1.057E+04  1.134E+02 
2.575E+05   1.061E+04  1.127E+02 
2.595E+05   1.064E+04  1.120E+02 
2.615E+05   1.068E+04  1.113E+02 
2.636E+05   1.071E+04  1.106E+02 
2.656E+05   1.075E+04  1.100E+02 
2.676E+05   1.078E+04  1.093E+02 
2.697E+05   1.082E+04  1.087E+02 
2.717E+05   1.085E+04  1.080E+02 
2.738E+05   1.089E+04  1.074E+02 
2.759E+05   1.092E+04  1.067E+02 
2.779E+05   1.096E+04  1.061E+02 
2.800E+05   1.099E+04  1.055E+02 
2.821E+05   1.103E+04  1.048E+02 
2.842E+05   1.106E+04  1.042E+02 
2.863E+05   1.109E+04  1.036E+02 
2.884E+05   1.113E+04  1.030E+02 
2.906E+05   1.116E+04  1.024E+02 
2.927E+05   1.119E+04  1.018E+02 
2.948E+05   1.122E+04  1.012E+02 
2.970E+05   1.126E+04  1.007E+02 
2.991E+05   1.129E+04  1.001E+02 
3.013E+05   1.132E+04  9.952E+01 
3.035E+05   1.135E+04  9.895E+01 
3.057E+05   1.138E+04  9.839E+01 
3.078E+05   1.141E+04  9.783E+01 
3.100E+05   1.144E+04  9.728E+01 
3.122E+05   1.148E+04  9.674E+01 
3.145E+05   1.151E+04  9.620E+01 
3.167E+05   1.154E+04  9.566E+01 
3.189E+05   1.157E+04  9.513E+01 
3.211E+05   1.160E+04  9.460E+01 
3.234E+05   1.163E+04  9.408E+01 
3.256E+05   1.165E+04  9.356E+01 
3.279E+05   1.168E+04  9.304E+01 
3.301E+05   1.171E+04  9.253E+01 
3.324E+05   1.174E+04  9.203E+01 
3.347E+05   1.177E+04  9.153E+01 
3.370E+05   1.180E+04  9.103E+01 
3.393E+05   1.183E+04  9.054E+01 
3.416E+05   1.185E+04  9.005E+01 
3.439E+05   1.188E+04  8.956E+01 
3.462E+05   1.191E+04  8.908E+01 
3.485E+05   1.194E+04  8.861E+01 
3.509E+05   1.196E+04  8.814E+01 
3.532E+05   1.199E+04  8.767E+01 
3.556E+05   1.202E+04  8.720E+01 
3.579E+05   1.204E+04  8.674E+01 
3.603E+05   1.207E+04  8.629E+01 
3.627E+05   1.210E+04  8.583E+01 
3.651E+05   1.212E+04  8.538E+01 
3.674E+05   1.215E+04  8.494E+01 
3.698E+05   1.217E+04  8.450E+01 
3.722E+05   1.220E+04  8.406E+01 
3.747E+05   1.222E+04  8.362E+01 
3.771E+05   1.225E+04  8.319E+01 
3.795E+05   1.227E+04  8.276E+01 
3.819E+05   1.230E+04  8.234E+01 
3.844E+05   1.232E+04  8.192E+01 
3.868E+05   1.235E+04  8.150E+01 
3.893E+05   1.237E+04  8.108E+01 
3.918E+05   1.240E+04  8.067E+01 
3.942E+05   1.242E+04  8.027E+01 
3.967E+05   1.244E+04  7.986E+01 
3.992E+05   1.247E+04  7.946E+01 
4.017E+05   1.249E+04  7.906E+01 
4.042E+05   1.251E+04  7.867E+01 
4.067E+05   1.254E+04  7.827E+01 
4.093E+05   1.256E+04  7.788E+01 
4.118E+05   1.258E+04  7.750E+01 
4.143E+05   1.260E+04  7.711E+01 
4.169E+05   1.262E+04  7.673E+01 
4.194E+05   1.265E+04  7.636E+01 
4.220E+05   1.268E+04  7.598E+01 
4.246E+05   1.271E+04  7.561E+01 
4.271E+05   1.274E+04  7.524E+01 
4.297E+05   1.277E+04  7.488E+01 
4.323E+05   1.280E+04  7.451E+01 
4.349E+05   1.283E+04  7.415E+01 
4.375E+05   1.286E+04  7.380E+01 
4.401E+05   1.288E+04  7.344E+01 
4.428E+05   1.291E+04  7.309E+01 
4.454E+05   1.294E+04  7.274E+01 
4.480E+05   1.296E+04  7.239E+01 
4.507E+05   1.299E+04  7.205E+01 
4.533E+05   1.301E+04  7.170E+01 
4.560E+05   1.304E+04  7.137E+01 
4.587E+05   1.306E+04  7.103E+01 
4.614E+05   1.309E+04  7.069E+01 
4.640E+05   1.311E+04  7.036E+01 
4.667E+05   1.313E+04  7.003E+01 
4.694E+05   1.316E+04  6.971E+01 
4.721E+05   1.318E+04  6.938E+01 
4.749E+05   1.320E+04  6.906E+01 
4.776E+05   1.322E+04  6.874E+01 
4.803E+05   1.324E+04  6.842E+01 
4.831E+05   1.326E+04  6.810E+01 
4.858E+05   1.328E+04  6.779E+01 
4.886E+05   1.330E+04  6.748E+01 
4.913E+05   1.332E+04  6.717E+01 
4.941E+05   1.334E+04  6.687E+01 
4.969E+05   1.335E+04  6.656E+01 
4.997E+05   1.337E+04  6.626E+01 
5.025E+05   1.339E+04  6.596E+01 
5.053E+05   1.341E+04  6.566E+01 
5.081E+05   1.343E+04  6.536E+01 
5.109E+05   1.345E+04  6.507E+01 
5.137E+05   1.346E+04  6.478E+01 
5.166E+05   1.348E+04  6.449E+01 
5.194E+05   1.350E+04  6.420E+01 
5.223E+05   1.352E+04  6.392E+01 
5.251E+05   1.354E+04  6.363E+01 
5.280E+05   1.355E+04  6.335E+01 
5.308E+05   1.357E+04  6.307E+01 
5.337E+05   1.359E+04  6.279E+01 
5.366E+05   1.361E+04  6.252E+01 
5.395E+05   1.362E+04  6.224E+01 
5.424E+05   1.364E+04  6.197E+01 
5.453E+05   1.366E+04  6.170E+01 
5.483E+05   1.368E+04  6.143E+01 
5.512E+05   1.369E+04  6.117E+01 
5.541E+05   1.371E+04  6.090E+01 
5.571E+05   1.373E+04  6.064E+01 
5.600E+05   1.374E+04  6.038E+01 
5.630E+05   1.376E+04  6.012E+01 
5.659E+05   1.377E+04  5.986E+01 
5.689E+05   1.379E+04  5.960E+01 
5.719E+05   1.381E+04  5.935E+01 
5.749E+05   1.382E+04  5.910E+01 
5.779E+05   1.384E+04  5.884E+01 
5.809E+05   1.385E+04  5.859E+01 
5.839E+05   1.387E+04  5.835E+01 
5.869E+05   1.389E+04  5.810E+01 
5.900E+05   1.390E+04  5.786E+01 
5.930E+05   1.392E+04  5.761E+01 
5.960E+05   1.393E+04  5.737E+01 
5.991E+05   1.395E+04  5.713E+01 
6.021E+05   1.396E+04  5.689E+01 
6.052E+05   1.397E+04  5.666E+01 
6.083E+05   1.399E+04  5.642E+01 
6.114E+05   1.400E+04  5.619E+01 
6.145E+05   1.402E+04  5.596E+01 
6.176E+05   1.403E+04  5.573E+01 
6.207E+05   1.405E+04  5.550E+01 
6.238E+05   1.406E+04  5.527E+01 
6.269E+05   1.407E+04  5.504E+01 
6.300E+05   1.409E+04  5.482E+01 
6.332E+05   1.410E+04  5.460E+01 
6.363E+05   1.412E+04  5.437E+01 
6.395E+05   1.413E+04  5.415E+01 
6.426E+05   1.414E+04  5.393E+01 
6.458E+05   1.416E+04  5.372E+01 
6.490E+05   1.417E+04  5.350E+01 
6.522E+05   1.418E+04  5.329E+01 
6.554E+05   1.420E+04  5.307E+01 
6.586E+05   1.421E+04  5.286E+01 
6.618E+05   1.422E+04  5.265E+01 
6.650E+05   1.423E+04  5.244E+01 
6.682E+05   1.425E+04  5.223E+01 
6.714E+05   1.426E+04  5.202E+01 
6.747E+05   1.427E+04  5.182E+01 
6.779E+05   1.428E+04  5.161E+01 
6.812E+05   1.430E+04  5.141E+01 
6.845E+05   1.431E+04  5.121E+01 
6.877E+05   1.432E+04  5.101E+01 
6.910E+05   1.433E+04  5.081E+01 
6.943E+05   1.434E+04  5.061E+01 
6.976E+05   1.436E+04  5.041E+01 
7.009E+05   1.437E+04  5.022E+01 
7.042E+05   1.438E+04  5.002E+01 
7.075E+05   1.439E+04  4.983E+01 
7.108E+05   1.440E+04  4.964E+01 
7.142E+05   1.441E+04  4.944E+01 
7.175E+05   1.443E+04  4.925E+01 
7.209E+05   1.444E+04  4.907E+01 
7.242E+05   1.445E+04  4.888E+01 
7.276E+05   1.446E+04  4.869E+01 
7.310E+05   1.447E+04  4.851E+01 
7.343E+05   1.448E+04  4.832E+01 
7.377E+05   1.449E+04  4.814E+01 
7.411E+05   1.450E+04  4.796E+01 
7.445E+05   1.451E+04  4.777E+01 
7.479E+05   1.452E+04  4.759E+01 
7.514E+05   1.453E+04  4.741E+01 
7.548E+05   1.454E+04  4.724E+01 
7.582E+05   1.455E+04  4.706E+01 
7.617E+05   1.456E+04  4.688E+01 
7.651E+05   1.457E+04  4.671E+01 
7.686E+05   1.458E+04  4.653E+01 
7.720E+05   1.459E+04  4.636E+01 
7.755E+05   1.460E+04  4.619E+01 
7.790E+05   1.461E+04  4.602E+01 
7.825E+05   1.462E+04  4.585E+01 
7.860E+05   1.463E+04  4.568E+01 
7.895E+05   1.464E+04  4.551E+01 
7.930E+05   1.465E+04  4.534E+01 
7.965E+05   1.466E+04  4.518E+01 
8.000E+05   1.467E+04  4.501E+01 
8.036E+05   1.468E+04  4.485E+01 
8.071E+05   1.469E+04  4.469E+01 
8.107E+05   1.470E+04  4.452E+01 
8.142E+05   1.471E+04  4.436E+01 
8.178E+05   1.472E+04  4.420E+01 
8.214E+05   1.473E+04  4.404E+01 
8.250E+05   1.474E+04  4.388E+01 
8.286E+05   1.474E+04  4.373E+01 
8.321E+05   1.475E+04  4.357E+01 
8.358E+05   1.476E+04  4.341E+01 
8.394E+05   1.477E+04  4.326E+01 
8.430E+05   1.478E+04  4.310E+01 
8.466E+05   1.479E+04  4.295E+01 
8.503E+05   1.480E+04  4.280E+01 
8.539E+05   1.480E+04  4.265E+01 
8.576E+05   1.481E+04  4.249E+01 
8.612E+05   1.482E+04  4.234E+01 
8.649E+05   1.483E+04  4.220E+01 
8.686E+05   1.484E+04  4.205E+01 
8.722E+05   1.484E+04  4.190E+01 
8.759E+05   1.485E+04  4.175E+01 
